ABSTRACT?target???words,,,ABSTRACT?target???words,,,concrete???objects?(SIZE-MATCHED?triplets),,
Being,brave,is like a(n),Being,trace,is like a(n),parachute,penthouse,synagogue
,panic,is like a(n),,tight,is like a(n),syringe,thistle,spinach
,panic,is like a(n),,tight,is like a(n),pharmacist,rheumatism,blacksmith
Having,pride,is like a(n),Having,minor,is like a(n),peas,mint,pill
Having,pride,is like a(n),Having,minor,is like a(n),parachute,crocodile,synagogue
Having,anger,is like a(n),Having,brief,is like a(n),sheepskin,librarian,fisherman
Having,anger,is like a(n),Having,brief,is like a(n),toe,peg,bee
In,shock,is like a(n),In,least,is like a(n),bake,pork,oven
In,shock,is like a(n),In,least,is like a(n),plum,oats,kiwi
The,truth,is like a(n),The,quiet,is like a(n),synagogue,parachute,crocodile
The,truth,is like a(n),The,quiet,is like a(n),confetti,tweezers,dandruff
Being,heavy,is like a(n),Being,piece,is like a(n),sailor,golfer,archer
,trust,is like a(n),,short,is like a(n),carrot,oyster,clover
To,marvel,is like a(n),To,prefix,is like a(n),conductor,messenger,carpenter
To,marvel,is like a(n),To,prefix,is like a(n),attendant,decorator,messenger
To,thrill,is like a(n),To,rumour,is like a(n),altar,attic,wagon
To,thrill,is like a(n),To,rumour,is like a(n),microphone,toothbrush,paintbrush
Being,brutal,is like a(n),Being,scarce,is like a(n),syringe,sandals,apricot
Being,brutal,is like a(n),Being,scarce,is like a(n),parsley,compass,perfume
To,admire,is like a(n),To,humble,is like a(n),ski,axe,keg
To,admire,is like a(n),To,humble,is like a(n),bulb,coke,foil
Being a,genius,is like a(n),Being a,polite,is like a(n),saxophone,carpenter,geologist
Being a,genius,is like a(n),Being a,polite,is like a(n),boot,lamp,tray
In,misery,is like a(n),In,remark,is like a(n),archer,brewer,cowboy
In,misery,is like a(n),In,remark,is like a(n),lemonade,scissors,broccoli
In,terror,is like a(n),In,bother,is like a(n),wand,pear,hoof
In,terror,is like a(n),In,bother,is like a(n),prairie,lioness,orchard
Having,wisdom,is like a(n),Having,excuse,is like a(n),clown,desks,stove
Having,wisdom,is like a(n),Having,excuse,is like a(n),toad,lark,mink
Having,virtue,is like a(n),Having,assist,is like a(n),dish,tray,shoe
Having,virtue,is like a(n),Having,assist,is like a(n),microphone,toothbrush,paintbrush
Having,honour,is like a(n),Having,phrase,is like a(n),skiing,musket,cellar
Having,honour,is like a(n),Having,phrase,is like a(n),infirmary,waterfall,submarine
An,empire,is like a(n),An,aspect,is like a(n),skiing,dancer,musket
An,empire,is like a(n),An,aspect,is like a(n),sailor,runner,waiter
Having,wealth,is like a(n),Having,unique,is like a(n),ankle,wrist,elbow
Having,wealth,is like a(n),Having,unique,is like a(n),rabbit,poodle,kitten
A,crisis,is like a(n),A,narrow,is like a(n),tomato,candle,potato
A,crisis,is like a(n),A,narrow,is like a(n),psychiatrist,psychologist,refrigerator
A,career,is like a(n),A,minute,is like a(n),carpenter,saxophone,geologist
A,career,is like a(n),A,minute,is like a(n),lantern,trumpet,bouquet
To,prosper,is like a(n),To,thrifty,is like a(n),compass,whistle,plaster
To,prosper,is like a(n),To,thrifty,is like a(n),apricot,whistle,sandals
Being,gallant,is like a(n),Being,flutter,is like a(n),toxin,desks,brake
Being,gallant,is like a(n),Being,flutter,is like a(n),pamphlet,slippers,scissors
To,torment,is like a(n),To,pronoun,is like a(n),psychiatrist,refrigerator,psychologist
To,torment,is like a(n),To,pronoun,is like a(n),camera,bottle,pocket
An,expanse,is like a(n),An,flicker,is like a(n),mint,nuts,lime
An,expanse,is like a(n),An,flicker,is like a(n),deer,pork,chef
A,dynasty,is like a(n),A,literal,is like a(n),balloon,sweater,harness
A,dynasty,is like a(n),A,literal,is like a(n),heater,dancer,cellar
Being,eternal,is like a(n),Being,impulse,is like a(n),chin,keys,leaf
Being,eternal,is like a(n),Being,impulse,is like a(n),fireplace,geologist,chauffeur
A,miracle,is like a(n),A,glimpse,is like a(n),librarian,fisherman,sheepskin
A,miracle,is like a(n),A,glimpse,is like a(n),beaker,tripod,chisel
,liberty,is like a(n),,portion,is like a(n),brother,teacher,speaker
,liberty,is like a(n),,portion,is like a(n),skiing,musket,belfry
Having,courage,is like a(n),Having,episode,is like a(n),convoy,bomber,meadow
Having,courage,is like a(n),Having,episode,is like a(n),lion,jail,cave
Having,passion,is like a(n),Having,shallow,is like a(n),parcel,pillow,poster
Having,passion,is like a(n),Having,shallow,is like a(n),sandals,biscuit,sausage
To,demolish,is like a(n),To,cowardly,is like a(n),coach,steel,drums
To,demolish,is like a(n),To,cowardly,is like a(n),pill,cork,nail
,infinity,is like a(n),,mischief,is like a(n),slippers,necklace,scissors
,infinity,is like a(n),,mischief,is like a(n),flea,lice,slug
An,epidemic,is like a(n),An,syllable,is like a(n),refrigerator,psychiatrist,psychologist
An,epidemic,is like a(n),An,syllable,is like a(n),bulb,flap,claw
,devotion,is like a(n),,reminder,is like a(n),spine,rifle,blade
,devotion,is like a(n),,reminder,is like a(n),hammock,gymnast,trumpet
In,paradise,is like a(n),In,intimate,is like a(n),admiral,surgeon,fighter
In,paradise,is like a(n),In,intimate,is like a(n),purse,dolls,tulip
Having,ambition,is like a(n),Having,instance,is like a(n),oven,lump,trio
Having,ambition,is like a(n),Having,instance,is like a(n),goblet,piston,burner
A,disaster,is like a(n),A,incident,is like a(n),garlic,pepper,cherry
A,disaster,is like a(n),A,incident,is like a(n),refrigerator,psychologist,psychiatrist
Being,afraid,is like a(n),Being,barely,is like a(n),tennis,piston,liquor
Being,afraid,is like a(n),Being,barely,is like a(n),refrigerator,psychiatrist,psychologist
To,avenge,is like a(n),To,feeble,is like a(n),biscuit,apricot,parsley
To,avenge,is like a(n),To,feeble,is like a(n),crocodile,parachute,synagogue
Being,awesome,is like a(n),Being,inkling,is like a(n),wrestling,astronaut,telescope
Being,awesome,is like a(n),Being,inkling,is like a(n),parachute,crocodile,synagogue
Having,ability,is like a(n),Having,lacking,is like a(n),sew,rat,cup
Having,ability,is like a(n),Having,lacking,is like a(n),pigeon,tomato,oyster
To,achieve,is like a(n),To,limited,is like a(n),tapestry,composer,musician
To,achieve,is like a(n),To,limited,is like a(n),psychiatrist,refrigerator,psychologist
,ever,is like a(n),,only,is like a(n),penthouse,infirmary,parachute
,ever,is like a(n),,only,is like a(n),paintbrush,microphone,toothbrush
To,amaze,is like a(n),To,petty,is like a(n),airport,sunrise,stadium
To,amaze,is like a(n),To,petty,is like a(n),pharmacist,blacksmith,astronomer
Having,belief,is like a(n),Having,seldom,is like a(n),cathedral,landscape,fireworks
Having,belief,is like a(n),Having,seldom,is like a(n),musket,sailor,cellar
To,belong,is like a(n),To,subtle,is like a(n),salmon,violin,bonnet
To,belong,is like a(n),To,subtle,is like a(n),penthouse,crocodile,synagogue
To,blame,is like a(n),To,timid,is like a(n),convoy,meadow,mosque
To,blame,is like a(n),To,timid,is like a(n),parsley,sandals,biscuit
