ABSTRACT?target???words,,,ABSTRACT?target???words,,,concrete???objects?(SIZE-VARYING?triplets),,
,panic,is like a(n),,tight,is like a(n),sewer,altar,puppy
Having,pride,is like a(n),Having,minor,is like a(n),ocean,canal,clock
Having,pride,is like a(n),Having,minor,is like a(n),lawsuit,actress,handbag
Having,anger,is like a(n),Having,brief,is like a(n),tanker,anchor,banana
Having,anger,is like a(n),Having,brief,is like a(n),synagogue,carpenter,earphones
In,shock,is like a(n),In,least,is like a(n),sunrise,bandits,sandals
In,shock,is like a(n),In,least,is like a(n),dinosaur,pheasant,mosquito
The,truth,is like a(n),The,quiet,is like a(n),yacht,ivory,pearl
The,truth,is like a(n),The,quiet,is like a(n),orchard,autopsy,herring
Being,heavy,is like a(n),Being,piece,is like a(n),giraffe,cheetah,hamster
,trust,is like a(n),,short,is like a(n),comet,duvet,acorn
To,marvel,is like a(n),To,prefix,is like a(n),rocket,boiler,sponge
To,marvel,is like a(n),To,prefix,is like a(n),fireworks,therapist,polyester
To,thrill,is like a(n),To,rumour,is like a(n),auditorium,passageway,toothbrush
To,thrill,is like a(n),To,rumour,is like a(n),penthouse,geologist,earphones
Being,brutal,is like a(n),Being,scarce,is like a(n),rhinoceros,camouflage,toothbrush
Being,brutal,is like a(n),Being,scarce,is like a(n),pyramid,bicycle,whistle
To,admire,is like a(n),To,humble,is like a(n),lawsuit,midwife,handbag
To,admire,is like a(n),To,humble,is like a(n),boulder,grenade,thistle
Being a,genius,is like a(n),Being a,polite,is like a(n),sewer,desks,shawl
Being a,genius,is like a(n),Being a,polite,is like a(n),tsunami,bayonet,padlock
In,misery,is like a(n),In,remark,is like a(n),auditorium,camouflage,tablespoon
In,misery,is like a(n),In,remark,is like a(n),spaceship,projector,raspberry
In,terror,is like a(n),In,bother,is like a(n),whale,vicar,trout
In,terror,is like a(n),In,bother,is like a(n),supermarket,bridesmaids,stethoscope
Having,wisdom,is like a(n),Having,excuse,is like a(n),spaceship,wrestling,eyelashes
Having,wisdom,is like a(n),Having,excuse,is like a(n),canyon,galley,pebble
Having,virtue,is like a(n),Having,assist,is like a(n),lake,deaf,coke
Having,virtue,is like a(n),Having,assist,is like a(n),circus,fridge,pencil
Having,honour,is like a(n),Having,phrase,is like a(n),abbey,swing,sauce
Having,honour,is like a(n),Having,phrase,is like a(n),spaceship,librarian,earphones
An,empire,is like a(n),An,aspect,is like a(n),swamp,aisle,thorn
An,empire,is like a(n),An,aspect,is like a(n),carnival,comedian,squirrel
Having,wealth,is like a(n),Having,unique,is like a(n),mosque,plough,fungus
Having,wealth,is like a(n),Having,unique,is like a(n),riot,snow,duck
A,crisis,is like a(n),A,narrow,is like a(n),crocodile,brassiere,blueberry
A,crisis,is like a(n),A,narrow,is like a(n),stadium,costume,nucleus
A,career,is like a(n),A,minute,is like a(n),fortress,radiator,chestnut
A,career,is like a(n),A,minute,is like a(n),volcano,autopsy,handbag
To,prosper,is like a(n),To,thrifty,is like a(n),tree,suit,spot
To,prosper,is like a(n),To,thrifty,is like a(n),lake,drum,coke
Being,gallant,is like a(n),Being,flutter,is like a(n),mosque,heroin,bonnet
Being,gallant,is like a(n),Being,flutter,is like a(n),carnival,suitcase,pamphlet
To,torment,is like a(n),To,pronoun,is like a(n),graduation,technician,microscope
To,torment,is like a(n),To,pronoun,is like a(n),city,door,hand
An,expanse,is like a(n),An,flicker,is like a(n),mob,axe,nut
An,expanse,is like a(n),An,flicker,is like a(n),sunset,skiing,violin
A,dynasty,is like a(n),A,literal,is like a(n),crater,cooker,rattle
A,dynasty,is like a(n),A,literal,is like a(n),titanic,butcher,bandage
Being,eternal,is like a(n),Being,impulse,is like a(n),truck,muddy,purse
Being,eternal,is like a(n),Being,impulse,is like a(n),volcano,parlour,sausage
A,miracle,is like a(n),A,glimpse,is like a(n),typhoon,hammock,blister
A,miracle,is like a(n),A,glimpse,is like a(n),ballroom,gardener,lemonade
,liberty,is like a(n),,portion,is like a(n),mosque,belfry,pliers
,liberty,is like a(n),,portion,is like a(n),meadow,cellar,garlic
Having,courage,is like a(n),Having,episode,is like a(n),airport,cottage,matches
Having,courage,is like a(n),Having,episode,is like a(n),desert,skiing,cheese
Having,passion,is like a(n),Having,shallow,is like a(n),railroad,bookcase,bracelet
Having,passion,is like a(n),Having,shallow,is like a(n),slaughter,telescope,polyester
To,demolish,is like a(n),To,cowardly,is like a(n),missile,cabinet,compass
To,demolish,is like a(n),To,cowardly,is like a(n),cyclone,thicket,whisker
,infinity,is like a(n),,mischief,is like a(n),lake,taxi,mink
,infinity,is like a(n),,mischief,is like a(n),castle,dinner,bottle
An,epidemic,is like a(n),An,syllable,is like a(n),missile,trumpet,plaster
An,epidemic,is like a(n),An,syllable,is like a(n),woods,sword,patch
,devotion,is like a(n),,reminder,is like a(n),tower,chest,apple
,devotion,is like a(n),,reminder,is like a(n),glacier,butcher,bandage
In,paradise,is like a(n),In,intimate,is like a(n),mosque,belfry,bonnet
In,paradise,is like a(n),In,intimate,is like a(n),motorway,calendar,bacteria
Having,ambition,is like a(n),Having,instance,is like a(n),lake,taxi,dish
Having,ambition,is like a(n),Having,instance,is like a(n),tornado,carcass,syringe
A,disaster,is like a(n),A,incident,is like a(n),supermarket,harpsichord,stethoscope
A,disaster,is like a(n),A,incident,is like a(n),throne,hammer,needle
Being,afraid,is like a(n),Being,barely,is like a(n),cathedral,brassiere,blueberry
Being,afraid,is like a(n),Being,barely,is like a(n),highway,kissing,plaster
To,avenge,is like a(n),To,feeble,is like a(n),riot,harp,frog
To,avenge,is like a(n),To,feeble,is like a(n),graduation,bridegroom,toothbrush
Being,awesome,is like a(n),Being,inkling,is like a(n),rocket,golfer,rabbit
Being,awesome,is like a(n),Being,inkling,is like a(n),parachute,sheepskin,earphones
Having,ability,is like a(n),Having,lacking,is like a(n),outdoors,corridor,lemonade
Having,ability,is like a(n),Having,lacking,is like a(n),war,gun,cup
To,achieve,is like a(n),To,limited,is like a(n),skyscraper,camouflage,toothbrush
To,achieve,is like a(n),To,limited,is like a(n),prairie,pianist,padlock
,ever,is like a(n),,only,is like a(n),park,test,lamp
,ever,is like a(n),,only,is like a(n),synagogue,accordion,earphones
To,amaze,is like a(n),To,petty,is like a(n),airplane,steroids,lemonade
To,amaze,is like a(n),To,petty,is like a(n),supermarket,bridesmaids,cauliflower
Having,belief,is like a(n),Having,seldom,is like a(n),boulder,soldier,perfume
Having,belief,is like a(n),Having,seldom,is like a(n),millionaire,businessman,stethoscope
To,belong,is like a(n),To,subtle,is like a(n),typhoon,autopsy,bandage
To,belong,is like a(n),To,subtle,is like a(n),sunset,cellar,violin
To,blame,is like a(n),To,timid,is like a(n),museum,camper,grapes
To,blame,is like a(n),To,timid,is like a(n),truck,drums,bread
